Genome,Study,Country,Region,Year,Accession,Database,Continent
PH1000-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR337568,varDB,Asia
PH1001-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR337559,varDB,Asia
PH1002-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR246562,varDB,Asia
PH1003-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR337563,varDB,Asia
PH1007-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR337573,varDB,Asia
PH1136-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR426026,varDB,Asia
PH1137-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR404253,varDB,Asia
PH1138-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR404197,varDB,Asia
PM0004-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015315,varDB,Africa
PM0006-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR012451,varDB,Africa
PM0015-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR019936,varDB,Africa
PM0017-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015337,varDB,Africa
PM0018-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR012396,varDB,Africa
PM0019-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR013208,varDB,Africa
PM0020-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR013215,varDB,Africa
PM0021-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015335,varDB,Africa
PM0022-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR012267,varDB,Africa
PM0024-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR012249,varDB,Africa
PM0026-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015345,varDB,Africa
PM0029-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR013206,varDB,Africa
PM0033-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR012410,varDB,Africa
PM0034-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR013197,varDB,Africa
PM0037-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR013210,varDB,Africa
PM0038-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR012262,varDB,Africa
PM0041-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR012352,varDB,Africa
PM0043-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR013188,varDB,Africa
PM0047-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR019934,varDB,Africa
PM0048-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015357,varDB,Africa
PM0049-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015377,varDB,Africa
PM0051-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR211527,varDB,Africa
PM0054-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015382,varDB,Africa
PM0058-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR211514,varDB,Africa
PM0060-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR199985,varDB,Africa
PM0062-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015425,varDB,Africa
PM0063-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015328,varDB,Africa
PM0064-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015392,varDB,Africa
PM0068-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR199986,varDB,Africa
PM0070-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR199987,varDB,Africa
PM0071-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR018900,varDB,Africa
PM0072-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015409,varDB,Africa
PM0073-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR211482,varDB,Africa
PM0074-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015391,varDB,Africa
PM0075-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR211478,varDB,Africa
PM0076-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR211466,varDB,Africa
PM0077-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR490336,varDB,Africa
PM0078-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR216456,varDB,Africa
PM0083-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR018901,varDB,Africa
PM0084-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015423,varDB,Africa
PM0085-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR211520,varDB,Africa
PM0086-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR211451,varDB,Africa
PM0087-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR199988,varDB,Africa
PM0089-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015434,varDB,Africa
PM0090-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015325,varDB,Africa
PM0093-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR199989,varDB,Africa
PM0094-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015353,varDB,Africa
PM0096-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR015424,varDB,Africa
PM0097-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR211517,varDB,Africa
PM0098-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR223048,varDB,Africa
PM0100-C,1001-PF-ML-DJIMDE,Mali,Bamako,2007,ERR199990,varDB,Africa
PM0103-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR199991,varDB,Africa
PM0107-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015366,varDB,Africa
PM0108-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015323,varDB,Africa
PM0113-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR199992,varDB,Africa
PM0114-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015314,varDB,Africa
PM0115-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015420,varDB,Africa
PM0117-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR199993,varDB,Africa
PM0123-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015354,varDB,Africa
PM0124-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015371,varDB,Africa
PM0127-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR211459,varDB,Africa
PM0129-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR490335,varDB,Africa
PM0132-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR018903,varDB,Africa
PM0133-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR018898,varDB,Africa
PM0134-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR211479,varDB,Africa
PM0136-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015435,varDB,Africa
PM0138-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015408,varDB,Africa
PM0139-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR018899,varDB,Africa
PM0142-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR211484,varDB,Africa
PM0144-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015322,varDB,Africa
PM0145-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015317,varDB,Africa
PM0146-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR015415,varDB,Africa
PM0147-C,1001-PF-ML-DJIMDE,Mali,Koulikoro,2007,ERR211474,varDB,Africa
PM0151-C,1001-PF-ML-DJIMDE,Mali,Mopti,2007,ERR223046,varDB,Africa
PM0152-C,1001-PF-ML-DJIMDE,Mali,Mopti,2007,ERR015344,varDB,Africa
PM0153-C,1001-PF-ML-DJIMDE,Mali,Mopti,2007,ERR015431,varDB,Africa
PM0154-C,1001-PF-ML-DJIMDE,Mali,Mopti,2007,ERR015386,varDB,Africa
PM0156-C,1001-PF-ML-DJIMDE,Mali,Mopti,2007,ERR211522,varDB,Africa
PM0157-C,1001-PF-ML-DJIMDE,Mali,Mopti,2007,ERR211468,varDB,Africa
PM0159-C,1001-PF-ML-DJIMDE,Mali,Mopti,2007,ERR211452,varDB,Africa
PM0160-C,1001-PF-ML-DJIMDE,Mali,Mopti,2007,ERR211485,varDB,Africa
PM0161-C,1001-PF-ML-DJIMDE,Mali,Mopti,2007,ERR490340,varDB,Africa
PR0114-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR216644,varDB,Asia
PR0115-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR216530,varDB,Asia
PR0116-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR216531,varDB,Asia
PR0117-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR216645,varDB,Asia
PR0118-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR216532,varDB,Asia
PR0119-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR216533,varDB,Asia
PR0120-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR216534,varDB,Asia
PR0121-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404223,varDB,Asia
PR0122-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404184,varDB,Asia
PR0123-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR425998,varDB,Asia
PR0124-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404225,varDB,Asia
PR0125-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404257,varDB,Asia
PR0126-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404226,varDB,Asia
PR0127-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426052,varDB,Asia
PR0128-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426105,varDB,Asia
PR0129-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426132,varDB,Asia
PR0130-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404210,varDB,Asia
PR0132-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404211,varDB,Asia
PR0133-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426106,varDB,Asia
PR0134-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426119,varDB,Asia
PR0135-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426065,varDB,Asia
PR0136-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426080,varDB,Asia
PR0137-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404238,varDB,Asia
PR0138-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404258,varDB,Asia
PR0141-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404237,varDB,Asia
PR0142-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426118,varDB,Asia
PR0143-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404252,varDB,Asia
PR0144-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404254,varDB,Asia
PR0145-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426133,varDB,Asia
PR0146-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426079,varDB,Asia
PR0147-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426092,varDB,Asia
PR0148-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426000,varDB,Asia
PR0149-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426066,varDB,Asia
PR0150-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426108,varDB,Asia
PR0151-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426109,varDB,Asia
PR0153-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404213,varDB,Asia
PR0154-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426069,varDB,Asia
PR0155-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404241,varDB,Asia
PR0156-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426003,varDB,Asia
PR0157-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404229,varDB,Asia
PR0158-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426072,varDB,Asia
PR0159-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404190,varDB,Asia
PR0160-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404230,varDB,Asia
PR0161-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404261,varDB,Asia
PR0162-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404231,varDB,Asia
PR0163-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR404203,varDB,Asia
PR0164-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426134,varDB,Asia
PR0165-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426068,varDB,Asia
PR0166-C,1052-PF-TRAC-WHITE,Bangladesh,Chittagong,2012,ERR426123,varDB,Asia
PT0001-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR042680,varDB,Africa
PT0002-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045656,varDB,Africa
PT0003-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045657,varDB,Africa
PT0004-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045658,varDB,Africa
PT0005-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045659,varDB,Africa
PT0006-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045660,varDB,Africa
PT0007-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045661,varDB,Africa
PT0008-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045662,varDB,Africa
PT0009-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045663,varDB,Africa
PT0010-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045664,varDB,Africa
PT0013-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045665,varDB,Africa
PT0014-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045666,varDB,Africa
PT0015-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR045667,varDB,Africa
PT0016-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR042681,varDB,Africa
PT0017-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR042682,varDB,Africa
PT0018-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR042683,varDB,Africa
PT0021-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR042686,varDB,Africa
PT0023-CW,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR042687,varDB,Africa
PT0027-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054068,varDB,Africa
PT0029-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054069,varDB,Africa
PT0031-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054070,varDB,Africa
PT0032-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216472,varDB,Africa
PT0034-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR211564,varDB,Africa
PT0035-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054071,varDB,Africa
PT0038-Cx,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR484641,varDB,Africa
PT0039-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054072,varDB,Africa
PT0040-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054073,varDB,Africa
PT0041-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054074,varDB,Africa
PT0042-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054075,varDB,Africa
PT0043-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR211460,varDB,Africa
PT0044-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054076,varDB,Africa
PT0046-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054077,varDB,Africa
PT0047-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR211461,varDB,Africa
PT0048-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054078,varDB,Africa
PT0051-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR054079,varDB,Africa
PT0052-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114392,varDB,Africa
PT0053-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072004,varDB,Africa
PT0054-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072001,varDB,Africa
PT0055-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072011,varDB,Africa
PT0056-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108410,varDB,Africa
PT0057-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114401,varDB,Africa
PT0058-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR069573,varDB,Africa
PT0059-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108413,varDB,Africa
PT0060-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR069568,varDB,Africa
PT0061-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114364,varDB,Africa
PT0062-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072010,varDB,Africa
PT0063-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114399,varDB,Africa
PT0064-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114403,varDB,Africa
PT0065-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114372,varDB,Africa
PT0066-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114360,varDB,Africa
PT0067-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114387,varDB,Africa
PT0068-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114353,varDB,Africa
PT0069-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR069575,varDB,Africa
PT0070-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114368,varDB,Africa
PT0071-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114397,varDB,Africa
PT0072-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108417,varDB,Africa
PT0073-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114389,varDB,Africa
PT0074-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114370,varDB,Africa
PT0075-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114398,varDB,Africa
PT0076-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114373,varDB,Africa
PT0077-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108418,varDB,Africa
PT0078-Cx,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114361,varDB,Africa
PT0079-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108409,varDB,Africa
PT0080-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072003,varDB,Africa
PT0081-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114400,varDB,Africa
PT0082-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108419,varDB,Africa
PT0083-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR069566,varDB,Africa
PT0084-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072008,varDB,Africa
PT0085-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114363,varDB,Africa
PT0086-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114394,varDB,Africa
PT0087-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114393,varDB,Africa
PT0088-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114386,varDB,Africa
PT0089-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108412,varDB,Africa
PT0090-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR069564,varDB,Africa
PT0091-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072002,varDB,Africa
PT0092-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108408,varDB,Africa
PT0094-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114351,varDB,Africa
PT0095-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072006,varDB,Africa
PT0096-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114385,varDB,Africa
PT0097-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072007,varDB,Africa
PT0098-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072005,varDB,Africa
PT0099-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR069574,varDB,Africa
PT0100-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108415,varDB,Africa
PT0101-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072012,varDB,Africa
PT0102-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108411,varDB,Africa
PT0103-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR108414,varDB,Africa
PT0104-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR069569,varDB,Africa
PT0105-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114402,varDB,Africa
PT0106-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114390,varDB,Africa
PT0108-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114359,varDB,Africa
PT0109-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114395,varDB,Africa
PT0111-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114391,varDB,Africa
PT0112-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR114396,varDB,Africa
PT0113-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR072009,varDB,Africa
PT0114-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216489,varDB,Africa
PT0115-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216479,varDB,Africa
PT0117-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216607,varDB,Africa
PT0118-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216490,varDB,Africa
PT0119-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226422,varDB,Africa
PT0120-Cx,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216480,varDB,Africa
PT0121-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226423,varDB,Africa
PT0122-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226424,varDB,Africa
PT0123-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226425,varDB,Africa
PT0124-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226426,varDB,Africa
PT0125-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216481,varDB,Africa
PT0126-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226427,varDB,Africa
PT0127-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216596,varDB,Africa
PT0129-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216482,varDB,Africa
PT0130-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226428,varDB,Africa
PT0131-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216597,varDB,Africa
PT0132-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226429,varDB,Africa
PT0133-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226430,varDB,Africa
PT0134-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216602,varDB,Africa
PT0135-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226431,varDB,Africa
PT0136-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216593,varDB,Africa
PT0137-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216603,varDB,Africa
PT0139-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226432,varDB,Africa
PT0140-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216655,varDB,Africa
PT0141-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR226433,varDB,Africa
PT0142-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216575,varDB,Africa
PT0143-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216576,varDB,Africa
PT0144-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216606,varDB,Africa
PT0145-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216577,varDB,Africa
PT0146-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216483,varDB,Africa
PT0148-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216484,varDB,Africa
PT0149-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216485,varDB,Africa
PT0150-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216601,varDB,Africa
PT0152-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216595,varDB,Africa
PT0155-C,1022-PF-MW-OCHOLLA,Malawi,Chikwawa,2011,ERR216604,varDB,Africa
