Genome,Study,Country,Region,Year,Accession,Database,Continent
PA0221-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055501,varDB,Africa
PA0222-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055470,varDB,Africa
PA0223-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055484,varDB,Africa
PA0224-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063558,varDB,Africa
PA0225-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063554,varDB,Africa
PA0227-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063615,varDB,Africa
PA0228-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055475,varDB,Africa
PA0229-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059392,varDB,Africa
PA0230-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059406,varDB,Africa
PA0231-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055469,varDB,Africa
PA0232-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063537,varDB,Africa
PA0233-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055472,varDB,Africa
PA0234-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059405,varDB,Africa
PA0237-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059399,varDB,Africa
PA0239-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055471,varDB,Africa
PA0245-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063595,varDB,Africa
PA0246-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055476,varDB,Africa
PA0249-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063545,varDB,Africa
PA0251-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059400,varDB,Africa
PA0253-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063523,varDB,Africa
PA0254-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063534,varDB,Africa
PA0255-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055481,varDB,Africa
PA0256-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059381,varDB,Africa
PA0257-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059377,varDB,Africa
PA0260-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063552,varDB,Africa
PA0261-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055496,varDB,Africa
PA0262-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063535,varDB,Africa
PA0263-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059383,varDB,Africa
PA0267-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055491,varDB,Africa
PA0269-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063608,varDB,Africa
PA0270-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063553,varDB,Africa
PC0005-Cx,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR199976,varDB,Africa
PC0007-C,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR012228,varDB,Africa
PC0008-02,1015-PF-KE-NZILA,Kenya,Kilifi,2007,ERR037225,varDB,Africa
