,sequence_id,mds_3d,mds_3d_x,mds_3d_y,mds_3d_z
1769,PV0212-C.g7,"[794.7603063561386, 315.3978780827775, -470.7498982931244]",794.7603063561386,315.3978780827775,-470.7498982931244
1819,PV0295-C.g7,"[749.5249803931353, -306.53232334021527, 466.90285090538043]",749.5249803931353,-306.53232334021527,466.90285090538043
1854,QC0173-C.g690,"[847.1895737526274, -179.53284265090278, -416.1708292947475]",847.1895737526274,-179.53284265090278,-416.1708292947475
1855,QC0175-C.g713,"[847.1895737526273, -179.53284265090295, -416.17082929474816]",847.1895737526273,-179.53284265090295,-416.17082929474816
1862,QC0186-C.g190,"[63.27744498031328, -813.1501591104363, -183.85446361633518]",63.27744498031328,-813.1501591104363,-183.85446361633518
1891,QE0392-C.g203,"[236.9983924721117, 636.7147086680535, 670.1080005029002]",236.9983924721117,636.7147086680535,670.1080005029002
1928,QE0432-C.g32,"[669.9572460462675, -231.7088980057538, 77.22445809893165]",669.9572460462675,-231.7088980057538,77.22445809893165
1943,QE0446-C.g609,"[329.8057066749822, -437.6350752074279, -804.0053651984667]",329.8057066749822,-437.6350752074279,-804.0053651984667
1945,QE0451-C.g210,"[512.7744660191249, -527.2064025521148, -823.2953828650633]",512.7744660191249,-527.2064025521148,-823.2953828650633
1952,QE0456-C.g331,"[-336.85395890603576, -835.0880893746099, -500.2754960398819]",-336.85395890603576,-835.0880893746099,-500.2754960398819
1962,QE0469-C.g385,"[260.36193490824945, 382.2622120072291, 605.7287702654943]",260.36193490824945,382.2622120072291,605.7287702654943
1982,QG0017-C.g69,"[-401.4330731815512, -658.6906054915054, 947.5200876628252]",-401.4330731815512,-658.6906054915054,947.5200876628252
2060,QG0128-C.g451,"[-708.8549490962383, 581.3014666816604, -73.91286367003589]",-708.8549490962383,581.3014666816604,-73.91286367003589
2072,QG0157-C.g1999,"[223.739150645587, -427.34494423832246, 1533.1701851492182]",223.739150645587,-427.34494423832246,1533.1701851492182
2105,QG0195-C.g20,"[-286.0826279498641, 498.9548732294562, 1043.55844748587]",-286.0826279498641,498.9548732294562,1043.55844748587
2121,QG0207-C.g1268,"[192.5780104631481, 1086.924893221983, -1076.0603867295229]",192.5780104631481,1086.924893221983,-1076.0603867295229
2161,QG0285-C.g7384,"[390.17128683740145, 1203.4005592273702, -487.2059677914935]",390.17128683740145,1203.4005592273702,-487.2059677914935
2164,QG0290-C.g85,"[-531.6769445430891, 312.1154270784107, 1234.0351584827902]",-531.6769445430891,312.1154270784107,1234.0351584827902
2189,QP0001-C.g1189,"[173.7379846141767, 1375.922226195915, 207.03657943938728]",173.7379846141767,1375.922226195915,207.03657943938728
2198,QP0022-C.g1100,"[-137.56424544752747, 1217.6025567644951, -510.27668251589023]",-137.56424544752747,1217.6025567644951,-510.27668251589023
2205,QP0040-C.g481,"[-141.46400035296026, -376.10000232079483, -916.2981630888944]",-141.46400035296026,-376.10000232079483,-916.2981630888944
2206,QP0040-C.g87,"[661.5060515601226, 93.24401864742231, 1405.896039523161]",661.5060515601226,93.24401864742231,1405.896039523161
2217,QP0072-C.g135,"[-1268.441253897371, -145.56649010005881, 250.62836751848184]",-1268.441253897371,-145.56649010005881,250.62836751848184
2225,QP0099-C.g1147,"[444.06853939866187, 1036.6809080595845, -875.6498644416181]",444.06853939866187,1036.6809080595845,-875.6498644416181
2235,QP0123-C.g862,"[-123.57852520702419, 695.6493810852678, 1017.8123547701506]",-123.57852520702419,695.6493810852678,1017.8123547701506
2236,QP0125-C.g461,"[429.8834503446396, -534.5228222946548, 639.5095655028623]",429.8834503446396,-534.5228222946548,639.5095655028623
2237,QP0138-C.g1538,"[-1069.3001275726322, -354.74588518057845, 164.81490464746543]",-1069.3001275726322,-354.74588518057845,164.81490464746543
2245,QP0169-C.g490,"[1489.7548990420053, -269.32705871780684, 350.98342637399105]",1489.7548990420053,-269.32705871780684,350.98342637399105
2255,QP0186-C.g1139,"[-828.1513394393287, 44.49611325072252, 537.11900393342]",-828.1513394393287,44.49611325072252,537.11900393342
2260,QP0199-C.g4006,"[-1081.0361672963604, -286.01809787938106, 639.3768724773294]",-1081.0361672963604,-286.01809787938106,639.3768724773294
2263,QP0212-C.g944,"[-107.30190508302891, -290.42545041402536, 1035.9260308613457]",-107.30190508302891,-290.42545041402536,1035.9260308613457
2265,QP0219-C.g314,"[-1081.0361672963604, -286.018097879381, 639.3768724773297]",-1081.0361672963604,-286.018097879381,639.3768724773297
2289,SenT092.08.g1310,"[-543.4730033957253, -854.3037304935715, -694.8525752605735]",-543.4730033957253,-854.3037304935715,-694.8525752605735
2301,SenT232.08.g335,"[44.20256981610413, -832.5266952794979, 650.9287423795843]",44.20256981610413,-832.5266952794979,650.9287423795843
2305,SenV092.05.g427,"[375.05691827003574, 1238.2405590277526, -197.65344931143602]",375.05691827003574,1238.2405590277526,-197.65344931143602
